Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),number_of_gears,CO2 Emissions(g/km)
GMC,SUV - STANDARD,5.3,8,A,X,12.7,6,292
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.8,8,324
FIAT,STATION WAGON - SMALL,1.4,4,M,X,8.3,6,191
HONDA,MID-SIZE,2.0,4,AS,X,9.1,10,211
AUDI,SUBCOMPACT,2.0,4,A,Z,10.3,6,237
NISSAN,COMPACT,1.6,4,M,X,7.9,5,185
GMC,SUV - STANDARD,5.3,8,A,X,14.3,6,336
SUBARU,SUV - SMALL,2.0,4,AV,X,7.9,8,185
BUICK,MID-SIZE,3.6,6,AS,E,15.8,6,263
LEXUS,COMPACT,1.8,4,AV,X,5.7,0,132
VOLVO,STATION WAGON - SMALL,2.0,4,AS,X,9.4,8,219
SUBARU,STATION WAGON - SMALL,2.0,4,AV,X,7.6,6,177
VOLVO,COMPACT,2.0,4,AS,Z,9.3,8,218
JAGUAR,MID-SIZE,3.0,6,AS,Z,10.4,8,243
RAM,PICKUP TRUCK - STANDARD,3.0,6,A,D,9.7,8,260
BUICK,MID-SIZE,3.6,6,AS,X,10.1,9,237
MITSUBISHI,COMPACT,2.0,4,M,X,8.3,5,191
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.5,6,317
CHEVROLET,TWO-SEATER,6.2,8,AS,Z,11.7,8,269
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.1,6,331
MAZDA,SUV - SMALL,2.5,4,AS,X,9.0,6,207
BMW,STATION WAGON - SMALL,2.0,4,A,Z,9.1,8,209
FORD,SUV - STANDARD,3.5,6,AS,E,16.1,6,264
MERCEDES-BENZ,SUV - STANDARD,5.5,8,A,Z,17.9,7,419
CADILLAC,FULL-SIZE,3.6,6,AS,Z,12.8,6,302
NISSAN,SUV - STANDARD,2.5,4,AV,X,8.8,0,202
CHEVROLET,FULL-SIZE,3.6,6,AS,X,10.6,6,249
BMW,COMPACT,2.0,4,AS,D,6.7,8,181
BMW,SUV - STANDARD,4.4,8,AS,Z,14.6,8,341
FORD,MID-SIZE,1.5,4,AS,X,8.4,6,193
CHEVROLET,MID-SIZE,1.4,4,AS,X,7.5,6,176
JEEP,SUV - SMALL,3.6,6,A,X,11.8,8,276
CHEVROLET,SUV - STANDARD,5.3,8,A,E,17.6,6,282
GMC,SUV - STANDARD,6.2,8,A,Z,14.3,8,329
CHEVROLET,PICKUP TRUCK - SMALL,2.8,4,A,D,9.5,6,255
AUDI,STATION WAGON - SMALL,2.0,4,AM,Z,9.5,7,221
JAGUAR,TWO-SEATER,2.0,4,AS,Z,9.2,8,215
BMW,SUBCOMPACT,2.0,4,AS,Z,8.4,8,193
NISSAN,PICKUP TRUCK - SMALL,4.0,6,M,X,13.5,6,317
CADILLAC,COMPACT,2.0,4,M,Z,10.1,6,236
VOLKSWAGEN,COMPACT,1.8,4,AS,X,7.9,6,182
GMC,PICKUP TRUCK - STANDARD,2.7,4,A,X,12.0,8,280
CHEVROLET,COMPACT,1.4,4,M,X,8.0,6,189
MERCEDES-BENZ,COMPACT,4.0,8,AS,Z,11.7,7,273
VOLVO,COMPACT,2.0,4,AS,Z,8.9,8,208
VOLKSWAGEN,COMPACT,1.8,4,AM,X,8.2,6,193
HONDA,PICKUP TRUCK - STANDARD,3.5,6,A,X,13.4,5,308
SUBARU,SUV - SMALL,2.5,4,AV,X,8.2,8,192
CHEVROLET,VAN - PASSENGER,6.0,8,A,E,25.9,6,414
MERCEDES-BENZ,TWO-SEATER,4.7,8,A,Z,11.8,9,275
HYUNDAI,COMPACT,1.6,4,AS,X,8.2,6,193
MERCEDES-BENZ,COMPACT,4.7,8,AS,Z,11.5,7,264
TOYOTA,PICKUP TRUCK - SMALL,2.7,4,A,X,11.2,4,258
VOLKSWAGEN,COMPACT,2.0,4,M,X,8.9,6,208
VOLVO,SUV - SMALL,2.0,4,AS,X,9.2,8,216
JEEP,SUV - SMALL,3.6,6,A,X,13.4,5,313
MAZDA,MID-SIZE,2.5,4,AS,X,7.6,6,175
MERCEDES-BENZ,SUV - STANDARD,3.5,6,AS,E,16.0,7,256
HONDA,COMPACT,1.5,4,AV,X,5.2,0,120
INFINITI,SUV - STANDARD,2.5,4,AV,X,8.5,0,196
VOLKSWAGEN,COMPACT,1.4,4,AM,Z,5.3,7,122
BMW,COMPACT,2.0,4,AS,Z,8.7,8,204
GENESIS,FULL-SIZE,3.8,6,AS,X,12.1,8,286
NISSAN,COMPACT,1.6,4,A,X,7.8,4,179
LINCOLN,SUV - SMALL,2.3,4,AS,X,11.5,6,269
LINCOLN,MID-SIZE,2.0,4,AS,X,10.3,6,242
VOLVO,SUV - STANDARD,2.0,4,AS,Z,10.0,8,232
FORD,TWO-SEATER,3.5,6,AM,Z,17.1,7,403
AUDI,SUBCOMPACT,3.0,6,A,Z,11.4,7,262
GMC,SUV - STANDARD,5.3,8,A,E,19.0,6,317
MAZDA,MID-SIZE,2.5,4,AS,X,8.7,6,204
TOYOTA,SUV - STANDARD,3.5,6,AV,X,8.3,6,191
CADILLAC,MID-SIZE,3.6,6,AS,X,10.7,8,246
MITSUBISHI,SUV - SMALL,2.0,4,AV,X,8.7,6,200
CHEVROLET,SUV - SMALL,1.5,4,A,X,8.7,6,204
BMW,COMPACT,2.0,4,AS,D,7.0,8,189
BMW,SUBCOMPACT,2.0,4,AS,Z,8.4,8,197
AUDI,SUBCOMPACT,2.0,4,AM,Z,9.5,6,222
PORSCHE,TWO-SEATER,3.4,6,M,Z,10.4,6,245
HONDA,FULL-SIZE,1.5,4,M,X,7.9,6,185
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,19.5,10,323
TOYOTA,SUV - SMALL,2.5,4,AS,X,8.2,8,194
MITSUBISHI,STATION WAGON - SMALL,2.0,4,M,X,8.7,5,205
SUBARU,SUV - STANDARD,2.4,4,AV,X,10.4,8,244
FORD,PICKUP TRUCK - STANDARD,3.0,6,AS,D,10.0,10,270
AUDI,SUBCOMPACT,2.0,4,AM,X,9.6,7,225
AUDI,MID-SIZE,2.0,4,AS,Z,9.4,8,220
MERCEDES-BENZ,STATION WAGON - SMALL,2.0,4,AS,Z,8.9,7,205
GMC,SUV - SMALL,1.5,4,A,X,8.6,9,201
MERCEDES-BENZ,MID-SIZE,5.5,8,AS,Z,13.3,7,306
FORD,SUBCOMPACT,2.3,4,M,X,9.2,6,212
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS,Z,15.6,7,359
GMC,PICKUP TRUCK - SMALL,2.5,4,A,X,11.3,6,266
CHEVROLET,VAN - PASSENGER,6.0,8,A,X,18.8,6,441
NISSAN,SUV - SMALL,4.0,6,M,X,14.4,6,331
KIA,SUV - SMALL,2.4,4,AS,X,10.5,6,246
AUDI,SUV - SMALL,3.0,6,AS,Z,11.2,8,258
LEXUS,MID-SIZE,3.4,6,AS,Z,11.1,10,261
MITSUBISHI,COMPACT,2.0,4,AV,X,7.8,6,181
CHEVROLET,SUBCOMPACT,6.2,8,M,Z,14.8,6,348
MITSUBISHI,SUV - SMALL,2.4,4,AV,X,9.6,6,223
LEXUS,SUV - STANDARD,4.6,8,AS,Z,13.9,6,322
PORSCHE,SUV - STANDARD,2.9,6,AS,Z,11.8,8,275
INFINITI,MID-SIZE,3.5,6,AS,Z,7.5,7,172
FORD,COMPACT,2.0,4,M,X,8.9,6,205
JEEP,SUV - SMALL,1.4,4,M,X,8.8,6,207
CADILLAC,FULL-SIZE,2.0,4,AS,Z,9.5,8,223
FORD,PICKUP TRUCK - STANDARD,3.5,6,A,E,15.8,6,258
HYUNDAI,FULL-SIZE,2.4,4,AS,X,8.2,6,194
BMW,SUBCOMPACT,3.0,6,AS,Z,9.9,8,232
MINI,MINICOMPACT,2.0,4,M,Z,9.0,6,210
MITSUBISHI,COMPACT,2.0,4,M,X,8.4,5,193
LEXUS,SUBCOMPACT,3.5,6,AS,Z,11.0,6,258
BMW,STATION WAGON - SMALL,2.0,4,AS,Z,8.9,8,209
FIAT,SUV - SMALL,2.4,4,A,X,9.7,9,226
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,18.7,6,299
CADILLAC,MID-SIZE,2.0,4,AS,Z,9.9,8,232
AUDI,SUBCOMPACT,2.0,4,AM,X,8.1,7,188
FORD,FULL-SIZE,3.5,6,AS,X,11.8,6,271
BMW,COMPACT,2.0,4,AS,Z,8.9,8,208
FORD,SUV - SMALL,1.6,4,AS,X,9.4,6,220
LEXUS,SUV - SMALL,2.0,4,AS,Z,9.6,6,221
CHEVROLET,COMPACT,1.4,4,AS,X,8.4,6,195
PORSCHE,FULL-SIZE,4.8,8,AM,Z,12.7,7,292
INFINITI,SUBCOMPACT,3.7,6,AS,Z,11.5,7,265
CADILLAC,STATION WAGON - SMALL,3.6,6,AS,X,11.3,6,260
PORSCHE,FULL-SIZE,4.8,8,AM,Z,12.9,7,297
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS,X,17.5,6,402
VOLKSWAGEN,MID-SIZE,2.0,4,AS,X,8.1,6,188
MITSUBISHI,COMPACT,1.2,3,AV,X,6.0,0,138
NISSAN,MID-SIZE,2.5,4,AV,X,8.1,0,190
RAM,PICKUP TRUCK - STANDARD,5.7,8,A,X,13.6,8,319
HONDA,SUV - SMALL,1.5,4,AV,X,7.7,0,180
MERCEDES-BENZ,SUBCOMPACT,4.0,8,A,Z,11.8,9,277
AUDI,SUBCOMPACT,2.0,4,AM,Z,8.8,7,206
MERCEDES-BENZ,STATION WAGON - SMALL,3.0,6,A,Z,10.8,9,255
BMW,SUV - SMALL,3.0,6,AS,Z,11.1,8,260
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,E,17.3,6,277
MITSUBISHI,COMPACT,1.2,3,AV,X,6.4,0,149
BMW,COMPACT,2.0,4,AS,Z,8.7,8,200
CHEVROLET,MID-SIZE,2.0,4,A,Z,9.1,9,214
VOLKSWAGEN,COMPACT,2.0,4,M,Z,9.4,6,216
PORSCHE,MINICOMPACT,3.8,6,M,Z,11.0,7,258
VOLKSWAGEN,STATION WAGON - SMALL,1.8,4,M,X,8.2,5,192
PORSCHE,TWO-SEATER,2.5,4,M,Z,10.7,6,249
NISSAN,MID-SIZE,1.8,4,M,X,7.9,6,184
MAZDA,SUV - SMALL,2.5,4,AS,X,8.5,6,201
AUDI,TWO-SEATER,5.2,10,A,Z,14.8,7,347
MASERATI,FULL-SIZE,3.8,8,AS,Z,13.7,8,321
FORD,SUV - SMALL,3.5,6,AS,X,11.5,6,264
PORSCHE,SUV - SMALL,2.0,4,AM,Z,11.3,7,264
FORD,SUV - STANDARD,3.5,6,AS,X,12.1,6,283
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS,Z,17.7,7,407
FORD,PICKUP TRUCK - STANDARD,3.5,6,A,E,16.8,6,269
BUICK,SUV - SMALL,1.4,4,AS,X,8.3,6,196
FORD,SUBCOMPACT,1.6,4,M,X,7.6,5,179
TOYOTA,SUV - SMALL,3.5,6,AS,X,11.1,6,260
NISSAN,MID-SIZE,1.8,4,M,X,7.9,6,182
AUDI,SUBCOMPACT,3.0,6,AS,Z,9.8,8,230
JEEP,SUV - SMALL,2.4,4,M,X,9.7,5,228
BMW,SUBCOMPACT,4.4,8,AS,Z,12.8,8,294
AUDI,MID-SIZE,3.0,6,AS,Z,10.5,8,242
GMC,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.2,8,332
KIA,MID-SIZE,2.0,4,AS,X,8.3,6,196
MERCEDES-BENZ,SUV - STANDARD,4.7,8,A,Z,13.5,9,318
MINI,MID-SIZE,2.0,4,M,Z,9.2,6,215
NISSAN,COMPACT,1.6,4,A,X,8.0,4,188
FORD,SUV - SMALL,3.7,6,AS,X,12.2,6,281
MINI,TWO-SEATER,1.6,4,M,Z,8.1,6,186
RAM,PICKUP TRUCK - STANDARD,3.0,6,A,D,10.1,8,273
BMW,SUBCOMPACT,3.0,6,M,Z,10.4,6,242
VOLKSWAGEN,MID-SIZE,1.8,4,A,X,8.6,6,198
CHEVROLET,MID-SIZE,1.4,4,AS,X,7.5,6,175
CHEVROLET,SUV - STANDARD,2.0,4,A,Z,10.5,9,246
CHEVROLET,SUV - SMALL,1.4,4,M,X,8.2,6,194
AUDI,SUBCOMPACT,1.8,4,AM,X,8.7,6,204
GMC,SUV - SMALL,1.5,4,A,X,9.0,9,210
SUBARU,SUV - SMALL,2.5,4,M,X,9.7,6,223
VOLKSWAGEN,COMPACT,1.4,4,M,X,7.4,6,172
LEXUS,SUBCOMPACT,2.5,6,AS,Z,9.6,6,221
NISSAN,STATION WAGON - SMALL,2.0,4,AV,X,8.4,7,198
TOYOTA,MID-SIZE,1.8,4,AV,X,6.9,0,159
BMW,SUBCOMPACT,2.0,4,AS,Z,9.1,8,209
MERCEDES-BENZ,COMPACT,3.0,6,A,Z,10.7,9,235
AUDI,COMPACT,2.0,4,AS,Z,10.0,8,230
AUDI,MID-SIZE,3.0,6,AS,Z,10.5,8,247
BMW,COMPACT,2.0,4,AS,D,6.8,8,183
JAGUAR,FULL-SIZE,3.0,6,AS,Z,12.4,8,285
VOLVO,SUV - SMALL,2.0,4,AS,Z,9.8,8,228
JEEP,SUV - SMALL,3.6,6,A,X,11.7,8,275
LINCOLN,MID-SIZE,3.0,6,AS,X,11.2,6,264
KIA,FULL-SIZE,2.0,4,AS,X,9.7,6,230
TOYOTA,MINICOMPACT,2.0,4,AS,Z,8.7,6,204
MERCEDES-BENZ,TWO-SEATER,6.2,8,AS,Z,15.7,7,361
DODGE,FULL-SIZE,3.6,6,A,E,14.2,8,234
VOLVO,SUV - SMALL,3.0,6,AS,X,11.9,6,274
SUBARU,COMPACT,2.0,4,AV,Z,11.2,8,256
LAND ROVER,SUV - STANDARD,5.0,8,AS,Z,15.1,8,354
BMW,STATION WAGON - SMALL,2.0,4,AS,Z,9.1,8,209
PORSCHE,MINICOMPACT,3.8,6,M,Z,11.3,7,265
CHEVROLET,PICKUP TRUCK - SMALL,3.6,6,A,X,11.8,6,271
KIA,COMPACT,1.6,4,AS,X,7.7,6,177
BMW,SUBCOMPACT,2.0,4,AS,Z,8.9,8,211
GMC,PICKUP TRUCK - SMALL,2.8,4,A,D,10.3,6,277
JEEP,SUV - SMALL,2.4,4,A,X,9.8,9,225
BMW,MID-SIZE,4.4,8,AS,Z,13.9,8,324
FORD,SPECIAL PURPOSE VEHICLE,1.6,4,AS,X,9.5,6,223
BUICK,SUV - STANDARD,3.6,6,AS,X,11.2,9,263
FORD,SUBCOMPACT,1.6,4,AS,X,7.0,6,161
VOLVO,STATION WAGON - SMALL,2.0,4,AS,Z,9.4,8,221
AUDI,SUBCOMPACT,2.0,4,AM,Z,9.1,6,209
HONDA,COMPACT,1.5,4,AV,X,6.8,0,158
FORD,SUBCOMPACT,5.0,8,M,X,12.8,6,300
HYUNDAI,SUV - SMALL,2.0,4,AS,X,11.2,8,262
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.0,6,329
MERCEDES-BENZ,SUV - SMALL,2.0,4,AS,Z,9.1,7,212
FORD,VAN - PASSENGER,3.7,6,AS,X,15.1,6,354
DODGE,FULL-SIZE,5.7,8,A,X,12.9,5,297
MITSUBISHI,SUV - SMALL,2.0,4,M,X,9.3,5,214
FORD,SUBCOMPACT,5.0,8,AS,X,12.4,6,285
BMW,COMPACT,3.0,6,A,Z,10.1,8,232
SUBARU,MID-SIZE,3.6,6,AV,X,10.2,6,235
BMW,SUV - STANDARD,4.4,8,AS,Z,13.4,8,314
MAZDA,MID-SIZE,2.0,4,M,X,7.1,6,163
CHEVROLET,PICKUP TRUCK - SMALL,2.5,4,A,X,11.3,6,263
HONDA,COMPACT,1.5,4,M,X,6.8,6,159
BMW,COMPACT,2.0,4,AS,Z,8.9,8,205
CADILLAC,COMPACT,2.5,4,AS,X,9.0,6,207
LINCOLN,FULL-SIZE,3.5,6,AS,X,11.9,6,274
BMW,COMPACT,3.0,6,AS,Z,10.5,8,248
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.4,8,314
VOLKSWAGEN,COMPACT,2.5,5,A,X,9.8,6,225
DODGE,FULL-SIZE,5.7,8,A,X,13.3,5,312
FORD,SUV - STANDARD,3.5,6,AS,X,13.1,10,307
LEXUS,SUV - SMALL,2.5,4,AV,X,7.4,6,170
FORD,SUV - SMALL,2.5,4,AS,X,9.4,6,216
BMW,SUBCOMPACT,2.0,4,M,Z,9.0,6,211
PORSCHE,SUV - STANDARD,4.8,8,A,Z,14.3,8,336
ASTON MARTIN,TWO-SEATER,4.0,8,A,Z,11.5,8,270
KIA,FULL-SIZE,2.0,4,AS,X,8.5,6,196
LAND ROVER,SUV - SMALL,2.0,4,AS,Z,10.4,9,245
SUBARU,COMPACT,2.0,4,M,X,8.4,5,197
VOLKSWAGEN,COMPACT,2.0,4,M,X,8.3,6,193
HONDA,COMPACT,1.8,4,AV,X,7.1,0,163
FORD,FULL-SIZE,3.5,6,AS,X,11.3,6,260
CHEVROLET,COMPACT,1.4,4,M,X,8.0,6,184
HONDA,COMPACT,2.0,4,AV,X,7.1,0,164
LINCOLN,SUV - SMALL,2.3,4,AS,X,11.4,6,268
GMC,SUV - STANDARD,5.3,8,A,E,19.1,6,306
MERCEDES-BENZ,TWO-SEATER,5.5,8,AS,Z,10.6,7,252
CHEVROLET,FULL-SIZE,2.5,4,AS,X,9.5,6,224
DODGE,MID-SIZE,1.4,4,M,X,7.3,6,168
JAGUAR,MID-SIZE,2.0,4,AS,Z,10.5,8,242
BMW,SUBCOMPACT,3.0,6,AS,Z,10.2,8,235
GMC,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.2,8,327
ACURA,SUV - SMALL,3.5,6,AS,Z,10.9,9,254
BMW,FULL-SIZE,2.0,4,AS,Z,9.1,8,209
PORSCHE,TWO-SEATER,4.0,6,M,Z,15.1,6,352
HYUNDAI,SUV - SMALL,2.0,4,AS,X,11.2,6,264
JEEP,SUV - SMALL,2.4,4,A,E,12.5,9,206
TOYOTA,COMPACT,1.5,4,A,X,7.3,4,170
CHEVROLET,SUV - SMALL,3.6,6,A,X,11.3,9,265
BUICK,MID-SIZE,3.6,6,AS,X,11.4,6,262
KIA,COMPACT,1.6,4,AS,X,7.7,6,178
MINI,STATION WAGON - SMALL,1.5,3,AS,Z,9.2,8,215
DODGE,SUV - SMALL,2.4,4,A,X,11.1,4,255
ACURA,COMPACT,2.4,4,AM,Z,8.7,8,205
KIA,FULL-SIZE,1.6,4,AS,X,9.7,6,223
TOYOTA,MINIVAN,3.5,6,AS,X,11.0,8,259
AUDI,SUV - SMALL,2.0,4,AS,Z,8.9,8,205
HYUNDAI,FULL-SIZE,2.4,4,AS,X,8.7,6,207
LEXUS,MID-SIZE,3.4,6,AS,Z,10.2,10,240
JEEP,SUV - SMALL,3.2,6,A,X,11.1,9,259
TOYOTA,COMPACT,1.5,4,AS,X,6.6,6,155
MAZDA,COMPACT,1.5,4,M,X,7.4,5,170
LEXUS,MID-SIZE,3.5,6,AS,Z,11.0,6,257
CADILLAC,COMPACT,2.0,4,AS,Z,9.2,8,215
MERCEDES-BENZ,SUBCOMPACT,2.0,4,AS,Z,8.8,7,202
PORSCHE,MINICOMPACT,3.0,6,M,Z,11.1,7,260
CHRYSLER,MID-SIZE,2.4,4,A,E,11.3,9,186
VOLKSWAGEN,COMPACT,2.0,4,M,X,8.4,5,193
AUDI,TWO-SEATER,2.0,4,AM,X,9.1,6,209
MITSUBISHI,COMPACT,1.2,3,AV,X,5.9,0,139
LEXUS,MID-SIZE,5.0,8,AV,Z,11.5,8,268
GMC,SUV - STANDARD,5.3,8,A,X,13.0,6,304
TOYOTA,MID-SIZE,1.8,4,AV,X,4.5,0,106
FORD,COMPACT,2.0,4,AM,E,10.3,6,170
JEEP,SUV - SMALL,1.4,4,M,X,8.8,6,202
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,12.7,6,298
MERCEDES-BENZ,MID-SIZE,3.0,6,A,Z,10.3,9,244
LEXUS,MID-SIZE,2.5,4,AV,X,6.0,6,138
TOYOTA,MID-SIZE,2.5,4,AS,X,7.3,8,172
GMC,PICKUP TRUCK - SMALL,3.6,6,A,X,11.7,8,273
BMW,MID-SIZE,4.4,8,M,Z,13.7,6,321
MINI,MID-SIZE,1.5,3,AS,Z,8.5,8,197
HYUNDAI,FULL-SIZE,2.4,4,AS,X,8.5,6,202
HYUNDAI,COMPACT,1.6,4,AS,X,8.8,6,202
TOYOTA,COMPACT,1.5,4,AV,X,4.7,0,108
BMW,FULL-SIZE,2.0,4,AS,Z,8.8,8,207
CHEVROLET,FULL-SIZE,3.6,6,AS,X,10.6,6,248
AUDI,COMPACT,2.0,4,AS,Z,9.6,8,224
GMC,SUV - STANDARD,3.6,6,A,X,13.7,6,323
BMW,SUBCOMPACT,2.0,4,AS,Z,9.1,8,211
DODGE,MID-SIZE,2.4,4,A,X,8.6,6,198
MAZDA,MINIVAN,2.5,4,M,X,9.8,6,225
MINI,MINICOMPACT,1.5,3,M,Z,7.2,6,170
FORD,VAN - PASSENGER,5.4,8,A,E,23.9,4,382
HYUNDAI,SUV - SMALL,2.0,4,A,X,10.5,6,242
MITSUBISHI,SUV - SMALL,2.0,4,AV,X,8.4,6,193
NISSAN,MID-SIZE,1.8,4,AV,X,7.2,0,166
HONDA,STATION WAGON - SMALL,1.5,4,M,X,7.3,6,171
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,14.8,10,347
INFINITI,SUV - SMALL,2.0,4,AV,Z,9.7,8,228
JAGUAR,MID-SIZE,3.0,6,AS,Z,10.3,8,241
AUDI,MID-SIZE,4.0,8,AS,Z,11.3,8,265
GMC,SUV - STANDARD,5.3,8,A,E,17.2,6,285
RAM,PICKUP TRUCK - STANDARD,3.6,6,A,X,10.4,8,246
SUBARU,SUV - SMALL,2.0,4,AV,X,8.5,0,196
GMC,PICKUP TRUCK - SMALL,3.6,6,A,X,12.2,8,288
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.1,6,307
MINI,SUBCOMPACT,1.5,3,AM,Z,7.5,7,174
JEEP,SUV - SMALL,3.2,6,A,X,10.8,9,248
MINI,MINICOMPACT,1.5,3,M,Z,7.5,6,175
CADILLAC,MID-SIZE,3.6,6,AS,X,11.5,8,269
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,10.4,6,239
CHEVROLET,SUV - STANDARD,6.2,8,A,Z,14.5,10,340
SUBARU,SUV - SMALL,2.0,4,M,X,9.1,5,209
NISSAN,MID-SIZE,3.5,6,AV,X,9.0,7,212
LAMBORGHINI,TWO-SEATER,6.5,12,AM,Z,18.7,7,438
FORD,SUBCOMPACT,5.2,8,M,Z,14.6,6,341
MINI,MINICOMPACT,2.0,4,M,Z,8.7,6,203
FORD,FULL-SIZE,3.5,6,AS,E,14.3,6,229
LINCOLN,SUV - STANDARD,3.5,6,AS,X,14.5,6,339
NISSAN,STATION WAGON - MID-SIZE,3.5,6,AV,X,9.8,7,230
HYUNDAI,FULL-SIZE,2.0,4,M,X,8.7,6,207
ACURA,COMPACT,1.5,4,AV,Z,6.1,7,140
HONDA,FULL-SIZE,2.0,4,AV,X,5.1,0,118
CADILLAC,FULL-SIZE,4.2,8,AS,Z,13.8,10,324
DODGE,TWO-SEATER,8.4,10,M,Z,16.6,6,387
KIA,MID-SIZE,1.8,4,AS,X,7.6,6,179
GENESIS,FULL-SIZE,5.0,8,AS,Z,13.2,8,312
TOYOTA,MID-SIZE,2.5,4,AS,X,7.5,8,175
VOLVO,STATION WAGON - MID-SIZE,2.0,4,AS,Z,10.0,8,233
HYUNDAI,SUBCOMPACT,3.8,6,M,Z,12.1,6,283
KIA,FULL-SIZE,1.6,4,A,X,9.7,6,223
DODGE,FULL-SIZE,3.6,6,A,E,16.1,5,268
MERCEDES-BENZ,COMPACT,1.8,4,AS,Z,9.4,7,216
HYUNDAI,SUV - SMALL,3.3,6,AS,X,11.5,6,264
CHEVROLET,VAN - PASSENGER,5.3,8,A,E,21.5,4,344
GMC,SUV - STANDARD,3.6,6,A,X,11.4,6,268
KIA,MID-SIZE,3.3,6,AS,Z,11.8,8,279
ROLLS-ROYCE,FULL-SIZE,6.6,12,AS,Z,16.7,8,390
CHEVROLET,SUV - SMALL,2.4,4,A,E,14.2,6,236
HYUNDAI,MID-SIZE,2.0,4,AS,X,6.0,6,143
MINI,SUBCOMPACT,2.0,4,AS,Z,8.4,6,193
PORSCHE,MINICOMPACT,3.0,6,AM,Z,9.9,7,232
KIA,SUV - SMALL,3.8,6,AS,X,11.2,8,264
TOYOTA,SUV - SMALL,3.5,6,AS,X,11.1,6,255
MITSUBISHI,SUV - SMALL,3.0,6,A,Z,10.6,6,246
HYUNDAI,SUV - SMALL,3.3,6,AS,X,12.5,6,287
BMW,SUV - SMALL,3.0,6,AS,Z,10.1,8,235
MASERATI,SUBCOMPACT,4.7,8,AS,Z,15.1,6,347
NISSAN,SUBCOMPACT,3.8,6,AM,Z,12.8,6,300
BMW,SUV - SMALL,2.0,4,AS,D,7.9,8,211
LEXUS,MID-SIZE,2.0,4,AS,Z,9.0,8,212
AUDI,STATION WAGON - SMALL,2.0,4,AS,Z,9.9,8,228
VOLVO,SUV - STANDARD,2.0,4,AS,Z,10.2,8,239
MITSUBISHI,COMPACT,1.2,3,M,X,6.5,5,151
MERCEDES-BENZ,STATION WAGON - MID-SIZE,3.0,6,A,Z,10.2,9,239
NISSAN,SUV - STANDARD,5.6,8,AS,X,15.4,7,362
HYUNDAI,FULL-SIZE,1.6,4,AM,X,4.2,6,99
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,X,12.6,6,290
HYUNDAI,SUV - SMALL,2.4,4,AS,X,10.3,6,239
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,13.5,10,317
FORD,SUBCOMPACT,5.2,8,M,Z,14.2,6,334
CHEVROLET,COMPACT,3.6,6,AS,X,10.5,6,242
CADILLAC,COMPACT,3.6,6,AS,Z,12.5,8,293
GMC,VAN - PASSENGER,6.0,8,A,X,18.6,6,438
FORD,VAN - PASSENGER,3.5,6,AS,E,19.1,10,316
VOLKSWAGEN,SUBCOMPACT,2.0,4,A,Z,9.6,6,221
FORD,COMPACT,2.0,4,AS,X,7.8,6,179
GMC,SUV - SMALL,2.4,4,A,E,13.4,6,214
CADILLAC,MID-SIZE,3.0,6,AS,Z,11.5,10,268
JEEP,SUV - SMALL,1.4,4,M,X,8.8,6,203
HYUNDAI,MID-SIZE,2.0,4,M,X,8.5,6,196
SUBARU,FULL-SIZE,2.4,4,AV,X,8.7,8,205
NISSAN,SUV - SMALL,4.0,6,M,X,13.7,6,315
BUICK,MID-SIZE,2.0,4,M,Z,9.8,6,230
HYUNDAI,FULL-SIZE,1.6,4,AM,X,4.4,6,103
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,16.3,6,381
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,E,17.9,6,317
FORD,SUV - STANDARD,5.4,8,A,E,21.6,6,346
KIA,SUV - SMALL,2.4,4,A,X,11.0,6,253
PORSCHE,MINICOMPACT,3.0,6,M,Z,11.0,7,258
FORD,SUBCOMPACT,2.3,4,AS,X,10.4,10,244
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,E,14.2,6,233
FORD,SUV - SMALL,2.0,4,AS,X,9.6,6,221
MINI,SUBCOMPACT,2.0,4,AS,Z,8.2,6,193
MINI,TWO-SEATER,1.6,4,A,Z,7.6,6,175
MITSUBISHI,SUV - SMALL,3.0,6,AS,Z,10.4,6,238
